student_i,fit_duration,rate_duration,model_class,memory_size,total_questions,SAP_score
0,0BrbPbwCMz,0.233,26673082.657,Edurank,5,289,0.7891787694112865
1,46z59pQP58,2.074,26673084.732,Edurank,5,193,0.8781712260731828
2,52vEY7f17k,1.558,26673086.331,Edurank,5,280,0.803890306122449
3,6W08a98ZQV,1.356,26673087.709,Edurank,5,81,0.8059746989788144
4,8o0mJnIpFH,1.105,26673088.844,Edurank,5,300,0.8049999999999996
5,9hs21hUG5O,1.246,26673090.127,Edurank,5,294,0.7701189319265122
6,g209g5Vve6,2.515,26673092.655,Edurank,5,230,0.8609262759924383
7,XqBaV46VbC,2.199,26673094.887,Edurank,5,184,0.8139177693761812
8,y8BlGe62E7,1.751,26673096.674,Edurank,5,243,0.755812968890244
9,yDO9pl8GC0,1.907,26673098.622,Edurank,5,336,0.8392679988662134
10,0jSb6S70X1,2.192,26673100.853,Edurank,5,287,0.8249462783328672
11,1to8tgu4IT,1.193,26673102.106,Edurank,5,337,0.8515792161593391
12,0BrbPbwCMz,0.595,26673102.758,Edurank,5,370,0.8097589481373275
13,46z59pQP58,2.728,26673105.494,Edurank,5,281,0.8875014247539919
14,52vEY7f17k,2.439,26673107.984,Edurank,5,359,0.7839945375966976
15,6W08a98ZQV,1.999,26673110.032,Edurank,5,298,0.8701522453943521
16,8o0mJnIpFH,1.804,26673111.887,Edurank,5,400,0.8450124999999998
17,9hs21hUG5O,1.885,26673113.827,Edurank,5,371,0.8590899513952968
18,g209g5Vve6,2.817,26673116.693,Edurank,5,428,0.8488241331120625
19,XqBaV46VbC,2.8,26673119.553,Edurank,5,409,0.8514356083476303
20,y8BlGe62E7,2.315,26673121.922,Edurank,5,276,0.8794370930476795
21,yDO9pl8GC0,2.426,26673124.397,Edurank,5,430,0.8485127095727426
22,0jSb6S70X1,2.41,26673126.87,Edurank,5,445,0.846251735891932
23,1to8tgu4IT,1.562,26673128.505,Edurank,5,426,0.8880347814587048
24,0BrbPbwCMz,0.252,26673128.831,Edurank,5,289,0.7891787694112865
25,46z59pQP58,2.174,26673131.005,Edurank,5,193,0.8781712260731828
26,52vEY7f17k,1.73,26673132.775,Edurank,5,280,0.803890306122449
27,6W08a98ZQV,1.552,26673134.352,Edurank,5,81,0.8059746989788144
28,8o0mJnIpFH,1.271,26673135.655,Edurank,5,300,0.8049999999999996
29,9hs21hUG5O,1.397,26673137.09,Edurank,5,294,0.7701189319265122
30,g209g5Vve6,2.42,26673139.527,Edurank,5,230,0.8609262759924383
31,XqBaV46VbC,2.081,26673141.638,Edurank,5,184,0.8139177693761812
32,y8BlGe62E7,1.493,26673143.164,Edurank,5,243,0.755812968890244
33,yDO9pl8GC0,1.583,26673144.783,Edurank,5,336,0.8392679988662134
34,0jSb6S70X1,1.711,26673146.524,Edurank,5,287,0.8249462783328672
35,1to8tgu4IT,0.982,26673147.552,Edurank,5,337,0.8515792161593391
36,0BrbPbwCMz,0.574,26673148.151,Edurank,5,28,0.7716836734693878
37,46z59pQP58,1.679,26673149.837,Edurank,5,402,0.8500222766763197
38,52vEY7f17k,1.451,26673151.325,Edurank,5,242,0.740591489652346
39,8o0mJnIpFH,1.211,26673152.557,Edurank,5,134,0.8254622410336375
40,9hs21hUG5O,1.341,26673153.914,Edurank,5,247,0.7306135160386172
41,g209g5Vve6,2.029,26673155.955,Edurank,5,226,0.799396977053802
42,XqBaV46VbC,1.958,26673157.934,Edurank,5,127,0.8291896583793168
43,y8BlGe62E7,1.657,26673159.615,Edurank,5,202,0.7973482991863541
44,yDO9pl8GC0,1.984,26673161.611,Edurank,5,161,0.8239651248022837
45,0jSb6S70X1,2.18,26673163.808,Edurank,5,171,0.8482268048288366
46,1to8tgu4IT,1.429,26673165.265,Edurank,5,122,0.7891695780704108
47,5LMy832c47,3.145,26673168.393,Edurank,5,71,0.8522118627256496
